window_start,asset,direction,min_ask,min_ask_time,max_ask,max_ask_time,first_below_04,last_below_04,first_back_above_045,retry_count
"2026/01/15 00:45","ETH","Up","0.32","2026/01/15 00:48:01","0.61","2026/01/15 00:48:15","2026/01/15 00:46:53","2026/01/15 00:54:59","2026/01/15 00:48:15","0"
"2026/01/15 00:45","ETH","Down","0.4","2026/01/15 00:48:15","0.96","2026/01/15 00:54:09","2026/01/15 00:48:15","2026/01/15 00:48:19","2026/01/15 00:48:35","0"
"2026/01/15 00:45","BTC","Up","0.36","2026/01/15 00:47:08","0.72","2026/01/15 00:48:16","2026/01/15 00:45:39","2026/01/15 00:54:59","2026/01/15 00:46:05","0"
"2026/01/15 00:45","BTC","Down","0.29","2026/01/15 00:48:16","0.8","2026/01/15 00:53:10","2026/01/15 00:48:14","2026/01/15 00:49:05","2026/01/15 00:49:10","0"
"2026/01/15 00:45","XRP","Up","0.42","2026/01/15 00:45:40","0.77","2026/01/15 00:48:18","2026/01/15 00:51:43","2026/01/15 00:54:59","2026/01/15 00:52:09","0"
"2026/01/15 00:45","XRP","Down","0.24","2026/01/15 00:48:18","0.67","2026/01/15 00:51:50","2026/01/15 00:48:18","2026/01/15 00:52:40","2026/01/15 00:50:06","0"
"2026/01/15 00:45","SOL","Up","0.45","2026/01/15 00:45:44","0.71","2026/01/15 00:48:26","2026/01/15 00:53:50","2026/01/15 00:54:49","","0"
"2026/01/15 00:45","SOL","Down","0.3","2026/01/15 00:48:36","0.66","2026/01/15 00:54:00","2026/01/15 00:48:19","2026/01/15 00:49:50","2026/01/15 00:49:56","0"
"2026/01/15 01:00","SOL","Up","0.38","2026/01/15 01:02:42","0.64","2026/01/15 01:09:34","2026/01/15 01:02:07","2026/01/15 01:06:00","2026/01/15 01:03:34","0"
"2026/01/15 01:00","SOL","Down","0.46","2026/01/15 01:04:58","0.65","2026/01/15 01:02:28","2026/01/15 01:09:11","2026/01/15 01:09:59","","0"
"2026/01/15 01:00","BTC","Up","0.43","2026/01/15 01:02:28","0.96","2026/01/15 01:09:47","","","","0"
